Gender,,Weight
Male,,241.8935632
Male,,162.3104725
Male,,212.7408556
Male,,220.0424703
Male,,206.3498006
Male,,152.2121558
Male,,183.9278886
Male,,167.9711105
Male,,175.9294404
Male,,156.3996764
Male,,186.6049256
Male,,213.7411695
Male,,167.1274611
Male,,189.4461814
Male,,186.434168
Male,,172.1869301
Male,,196.0285063
Male,,172.8834702
Male,,185.9839576
Male,,182.426648
Male,,174.1159291
Male,,197.7314216
Male,,149.173566
Male,,228.7617806
Male,,162.0066518
Male,,192.3439766
Male,,184.4351744
Male,,206.8281894
Male,,175.2139224
Male,,154.3426389
Male,,187.5068432
Male,,212.9102253
Male,,195.0322432
Male,,205.1836213
Male,,204.1641255
Male,,192.9035151
Male,,197.4882426
Male,,183.8109732
Male,,163.8518249
Male,,163.1080171
Male,,172.1355974
Male,,194.0454049
Male,,168.6177462
Male,,161.1934326
Male,,164.6602773
Male,,188.9223032
Male,,187.0605522
Male,,209.0708634
Male,,192.0143354
Male,,211.3424968
Male,,165.6116262
Male,,201.0719181
Male,,173.4239603
Male,,181.4076793
Male,,169.7377074
Male,,163.3095283
Male,,189.7102099
Male,,192.1248473
Male,,198.1984641
Male,,209.5264998
Male,,198.7597927
Male,,198.0795237
Male,,195.2906122
Male,,164.943303
Male,,179.8639023
Male,,155.2504207
Male,,184.5193912
Male,,220.6780415
Male,,183.3126553
Male,,196.4513123
Male,,184.5956083
Male,,207.5328385
Male,,177.2009288
Male,,163.1080022
Male,,216.2182301
Male,,204.6554938
Male,,200.9205712
Male,,220.9017699
Male,,196.4498603
Male,,168.64081
Male,,181.432713
Male,,198.6586733
Male,,237.9167359
Male,,173.0412559
Male,,160.6839166
Male,,188.6029191
Male,,208.345694
Male,,193.4351185
Male,,174.1096938
Male,,197.3685892
Male,,201.6206667
Male,,181.0119732
Male,,182.122486
Male,,177.5492634
Male,,164.9745807
Male,,165.7171122
Male,,193.0941635
Male,,180.683887
Male,,172.7737229
Male,,177.4706162
Male,,200.8187373
Male,,167.7397753
Male,,154.3956248
Male,,177.9847286
Male,,183.938857
Male,,179.2047821
Male,,158.5679874
Male,,166.5035316
Male,,171.9836776
Male,,174.3641824
Male,,187.7453519
Male,,201.4879624
Male,,204.9270121
Male,,178.6855465
Male,,164.0144277
Male,,223.2700044
Male,,202.9583063
Male,,189.3917856
Male,,178.1705556
Male,,223.2993352
Male,,167.0287067
Male,,180.468682
Male,,164.4391456
Male,,149.9696184
Male,,192.9102666
Male,,201.8839987
Male,,179.868026
Male,,196.4677247
Male,,187.5516495
Male,,171.6931597
Male,,191.6996048
Male,,165.8506478
Male,,185.6627413
Male,,178.2818007
Male,,150.9790513
Male,,209.9293234
Male,,174.1578043
Male,,179.8789771
Male,,167.7471412
Male,,183.0446604
Male,,169.5568208
Male,,173.4316727
Male,,180.8895546
Male,,183.5089329
Male,,205.9779102
Male,,183.7598452
Male,,201.9544955
Male,,216.1200947
Male,,159.3903237
Male,,210.3364247
Male,,178.6183502
